,city,cloudiness,country,date,humidity,lat,lng,max_temp,wind_speed
0,Polis,40,CY,1536217200,66,35.04,32.42,84.2,11.41
1,Skjervoy,0,NO,1536216600,71,70.03,20.97,53.6,10.29
2,Puerto Ayora,80,EC,1536219733,100,-0.74,-90.35,70.25,7.85
3,Luderitz,0,NA,1536219999,86,-26.65,15.16,54.59,16.69
4,Bethel,90,US,1536216780,89,60.79,-161.76,50.0,5.82
5,Bluff,12,AU,1536220000,44,-23.58,149.07,73.49,10.76
6,Hualmay,20,PE,1536220000,91,-11.1,-77.61,47.84,2.48
7,Kahului,40,US,1536216960,71,20.89,-156.47,82.04,16.11
8,Sartell,1,US,1536218100,100,45.62,-94.21,53.6,6.29
9,Atuona,100,PF,1536220001,100,-9.8,-139.03,78.08,11.99
10,Ilasan,92,PH,1536220002,100,14.06,121.63,76.28,9.98
11,Raudeberg,75,NO,1536216600,100,61.99,5.14,53.6,1.12
12,Pangnirtung,0,CA,1536220003,77,66.15,-65.72,38.3,7.96
13,Faya,0,SA,1536217200,32,18.39,42.45,82.4,11.41
14,Port Macquarie,75,AU,1536217200,72,-31.43,152.91,64.4,16.11
15,Fortuna,0,ES,1536217200,49,38.18,-1.13,78.8,2.24
16,Bredasdorp,40,ZA,1536217200,71,-34.53,20.04,50.0,5.82
17,Saint George,20,GR,1536216600,44,39.45,22.34,78.8,8.05
18,Linjiang,92,CN,1536220005,64,41.81,126.91,64.94,11.88
19,Tres Arroyos,0,AR,1536220006,71,-38.38,-60.28,57.38,9.53
20,Leh,56,IN,1536220006,55,34.16,77.58,50.27,1.7
21,Bambous Virieux,75,MU,1536217200,65,-20.34,57.76,78.8,16.11
22,Beringovskiy,0,RU,1536220007,100,63.05,179.32,48.2,5.61
23,Arnstadt,0,DE,1536218400,72,50.83,10.95,62.6,2.24
24,Sisimiut,56,GL,1536220007,100,66.94,-53.67,32.9,1.81
25,Port Elizabeth,40,US,1536218280,94,39.31,-74.98,78.98,5.82
26,Albany,20,US,1536216840,79,42.65,-73.75,78.08,9.17
27,Agadez,0,NE,1536217200,66,16.97,7.99,84.2,13.87
28,Hobart,75,AU,1536219000,67,-42.88,147.33,57.2,5.82
29,Iskateley,56,RU,1536220010,95,67.68,53.15,49.73,9.08
30,Nikolskoye,75,RU,1536217200,100,59.7,30.79,62.6,2.24
31,Dikson,88,RU,1536220010,99,73.51,80.55,40.82,22.5
32,Ushuaia,0,AR,1536217200,60,-54.81,-68.31,39.2,2.93
33,Aklavik,90,CA,1536217200,71,68.22,-135.01,50.0,5.82
34,Hovd,0,NO,1536216600,93,63.83,10.7,55.4,6.93
35,Jamestown,32,AU,1536219950,56,-33.21,138.6,50.36,11.88
36,Port Alfred,92,ZA,1536220012,100,-33.59,26.89,55.31,13.33
37,Mar del Plata,48,AR,1536219952,59,-46.43,-67.52,46.58,18.81
38,San Quintin,40,PH,1536217200,70,17.54,120.52,87.8,6.93
39,Khatanga,76,RU,1536220014,78,71.98,102.47,39.92,23.29
40,Busselton,80,AU,1536220014,100,-33.64,115.35,58.1,16.8
41,Castro,92,CL,1536220014,100,-42.48,-73.76,42.89,14.45
42,Upernavik,8,GL,1536220015,100,72.79,-56.15,37.85,3.71
43,Vaini,88,IN,1536220015,98,15.34,74.49,72.14,9.08
44,Ponta do Sol,0,BR,1536220016,82,-20.63,-46.0,45.41,5.39
45,Coquimbo,68,CL,1536220016,100,-29.95,-71.34,51.62,3.38
46,Punta Arenas,90,CL,1536217200,93,-53.16,-70.91,39.2,10.29
47,Lebu,12,ET,1536220017,70,8.96,38.73,67.73,4.05
48,Yellowknife,5,CA,1536217200,86,62.45,-114.38,30.2,2.24
49,Hermanus,92,ZA,1536220018,81,-34.42,19.24,49.1,2.59
50,Tasiilaq,92,GL,1536216600,56,65.61,-37.64,42.8,35.57
51,Bone,20,ID,1536219000,44,-5.29,119.42,93.2,9.17
52,Ribeira Grande,40,PT,1536217200,78,38.52,-28.7,73.4,10.29
53,Charters Towers,0,AU,1536220020,58,-20.07,146.27,70.34,9.64
54,Nome,1,US,1536218100,91,30.04,-94.42,78.08,1.92
55,Chuy,0,UY,1536220020,91,-33.69,-53.46,50.0,11.99
56,Labuhan,88,ID,1536220021,76,-2.54,115.51,80.24,2.71
57,Dabakala,80,CI,1536220021,100,8.36,-4.43,74.39,5.06
58,San Patricio,0,PY,1536220022,70,-26.98,-56.83,56.84,5.84
59,Pushkar,0,IN,1536220022,65,26.49,74.56,90.32,8.97
60,Altamira,32,BR,1536220023,89,-3.2,-52.21,75.2,4.27
61,The Valley,20,AI,1536217200,74,18.22,-63.06,82.4,12.21
62,Codrington,68,AU,1536220023,97,-28.95,153.24,58.37,3.83
63,Saldanha,24,PT,1536220024,81,41.42,-6.55,63.32,8.52
64,Alta Floresta,20,BR,1536220024,59,-9.87,-56.08,73.49,3.15
65,Okhotsk,92,RU,1536220025,100,59.36,143.24,55.4,23.29
66,Ucluelet,68,CA,1536220025,71,48.94,-125.55,56.75,2.04
67,Victoria,75,BN,1536219000,66,5.28,115.24,89.6,6.93
68,Tianpeng,88,CN,1536220026,92,28.88,112.34,76.1,5.61
69,Provideniya,32,RU,1536220026,93,64.42,-173.23,47.48,6.4
70,Atambua,0,ID,1536220027,79,-9.11,124.89,83.48,6.51
71,Cape Town,75,ZA,1536217200,81,-33.93,18.42,50.0,4.7
72,Berlevag,0,NO,1536216600,66,70.86,29.09,51.8,10.29
73,Port Hedland,0,AU,1536219000,17,-20.31,118.58,84.2,14.99
74,Kapit,12,MY,1536220029,76,2.02,112.94,81.32,2.93
75,San Policarpo,76,PH,1536220029,100,12.18,125.51,77.81,8.08
76,Hithadhoo,80,MV,1536220030,100,-0.6,73.08,79.97,17.69
77,Veraval,90,FR,1536217200,93,49.65,0.71,60.8,10.29
78,Butaritari,56,KI,1536220031,100,3.07,172.79,83.57,6.17
79,Banda Aceh,68,ID,1536220031,74,5.56,95.32,83.57,5.17
80,Lamu,36,ID,1536220031,81,0.57,122.3,79.88,3.15
81,Hilo,75,US,1536216960,74,19.71,-155.08,78.98,11.41
82,Garzon,0,FR,1536217200,93,47.81,-3.64,59.0,9.17
83,Cherskiy,92,RU,1536220032,58,68.75,161.3,57.11,8.86
84,Saint-Philippe,20,CA,1536218100,69,45.36,-73.48,80.6,17.22
85,Airai,20,TL,1536220034,35,-8.93,125.41,82.58,1.14
86,Rikitea,92,PF,1536220034,100,-23.12,-134.97,71.87,26.53
87,Broome,40,GB,1536218580,93,52.47,1.45,59.0,5.82
88,Welahan,0,ID,1536220035,65,-6.78,110.72,86.0,11.99
89,Dingle,92,PH,1536220036,99,11.0,122.67,75.65,12.66
90,Avarua,75,CK,1536217200,73,-21.21,-159.78,71.6,9.17
91,College,90,US,1536217080,93,64.86,-147.8,51.98,7.4
92,Salem,1,US,1536216780,62,44.94,-123.03,66.92,4.7
93,Lubango,20,AO,1536220037,57,-14.92,13.49,78.17,2.15
94,Arman,90,RU,1536217200,93,59.7,150.17,57.2,13.42
95,Cabra,40,ES,1536217200,77,37.47,-4.43,68.0,3.04
96,Nanortalik,92,GL,1536220039,97,60.14,-45.24,40.1,6.73
97,Mataura,0,NZ,1536220039,83,-46.19,168.86,34.16,4.16
98,Parabel,56,RU,1536220039,71,58.71,81.5,67.01,3.38
99,Ostrovnoy,76,RU,1536220040,99,68.05,39.51,48.11,10.31
100,New Norfolk,75,AU,1536219000,67,-42.78,147.06,57.2,5.82
101,Walvis Bay,0,NA,1536220041,100,-22.95,14.51,56.3,22.06
102,Ipixuna,0,BR,1536217200,94,-1.76,-48.8,75.2,2.24
103,Jacobabad,0,PK,1536220041,83,28.29,68.44,93.47,5.39
104,Coihaique,90,CL,1536217200,86,-45.58,-72.07,39.2,4.7
105,Husavik,0,CA,1536220042,91,50.56,-96.99,44.69,5.39
106,Praia da Vitoria,40,PT,1536217200,88,38.73,-27.07,69.8,7.18
107,Oranjemund,56,ZA,1536220043,98,-28.55,16.43,55.67,9.19
108,Ilulissat,20,GL,1536216600,42,69.22,-51.1,48.2,20.8
109,Madera,1,US,1536219300,56,36.96,-120.06,78.08,10.29
110,Sept-Iles,90,CA,1536217200,100,50.2,-66.38,53.6,9.17
111,Vostok,92,RU,1536220045,99,46.45,135.83,57.2,3.6
112,Aripuana,12,BR,1536220046,82,-9.17,-60.63,71.51,2.15
113,Mount Gambier,64,AU,1536219964,76,-37.83,140.78,49.82,5.73
114,Mecca,20,SA,1536220047,27,21.43,39.83,101.3,6.17
115,Sur,0,OM,1536220047,80,22.57,59.53,88.07,1.36
116,Litovko,64,RU,1536220047,74,49.24,135.18,58.28,7.18
117,Tshikapa,32,CD,1536220048,81,-6.42,20.79,79.07,2.82
118,Sainte-Marie,40,CA,1536217200,78,46.45,-71.03,75.2,17.22
119,Sitka,48,US,1536220049,91,37.17,-99.65,64.58,9.19
120,Ancud,92,CL,1536220049,92,-41.87,-73.83,44.24,14.23
121,Adre,0,TD,1536220050,81,13.47,22.2,82.85,6.4
122,Sambava,24,MG,1536220050,100,-14.27,50.17,74.93,19.71
123,Cam Ranh,32,VN,1536220050,84,11.92,109.15,85.73,4.94
124,Camden,1,US,1536218100,100,39.94,-75.12,80.96,4.38
